tweet,label,type
"List of Railway Stations from Rajasthan under Redevelopment :-
â€¢Jaipur Junction
â€¢Jodhpur Junction
â€¢Kota Junction
â€¢Udaipur City
~1/2
#Jaipur #Jodhpur #Kota #Udaipur #IndianRailways #Redevelopment #NorthWesternRailways https://t.co/iEkcw9hqow",non_complaint,Railway stations under redevelopment
"Did you know that #IndianRailways has the largest train network in Asia with over 20 million people travelling by 12,610 trains from 7,170 stations. It means the number of people travelling in trains every day is equal to total population of Australia!
#TraveasyIndia #Travel2022 https://t.co/h67cuySNMa",non_complaint,General
Bhopal-Bina MEMU  to return on tracks again from June 30  #IndianRailways @RailMinIndia @gmwcrailway @wc_railway @drmkota @drmjabalpur @AshwiniVaishnaw @DarshanaJardosh @raosahebdanve https://t.co/RHSfWojpPC,non_complaint,Information
"ðŸš¨ #IndianRailways generated a Record-High Revenue of over â‚¹1900 Cr from #e_Ticket Cancellation &amp; Convenience Fee!
à¤¨à¤¿à¤œà¥€-à¤¸à¤°à¤•à¤¾à¤°à¥€ à¤¤à¤‚à¤¤à¥à¤° à¤¦à¥‹à¤¨à¥‹à¤‚ à¤ªà¤¬à¥à¤²à¤¿à¤• à¤•à¥‹ à¤šà¥€à¤Ÿ à¤•à¤°à¤¤à¥‡ à¤¹à¥ˆà¤‚!MP/MLA à¤ªà¤¬à¥à¤²à¤¿à¤• à¤«à¤‚à¤¡ à¤¸à¥‡ à¤®à¥à¤«à¥à¤¤ à¤¸à¥à¤µà¤¿à¤§à¤¾à¤à¤‚ à¤­à¥‹à¤—à¥‡à¤‚à¤—à¥‡ à¤ªà¤° #SrCitizen à¤•à¥‹ à¤•à¤¥à¤¿à¤¤ %age à¤¬à¤¤à¤¾à¤•à¤° à¤¬à¤¾à¤°-à¤¬à¤¾à¤° à¤¬à¥‡à¤‡à¤œà¥à¤œà¤¤ à¤•à¤¿à¤¯à¤¾ à¤œà¤¾à¤¤à¤¾ à¤¹à¥ˆ!
#Congrats! https://t.co/ODBe5XHdSl",non_complaint,
"Indian Railwaysâ€™ Shri Ramayana Yatra Train From Delhi on June 21 to Include a Stop at Nepal's Janakpur #India #indianrailways #Indianrailwaysnews #IRCTC #Nepal #ShriRamayanaYatra https://t.co/TzlY3k2Dbe
https://t.co/wrPEvp5eJg",non_complaint,Informational
Following COVID Appropriate Behaviour Makes Safe from COVID Easier . #IndianRailways @gmwcrailway @wc_railway @drmkota @drmjabalpur @AshwiniVaishnaw @DarshanaJardosh https://t.co/LSPUtWEqfS,non_complaint,None
"Another video of the #VandeBharat trainset speed trial from inside a coach! And yes, even at 180 kmph, not a drop of water spills over! Cynics may say that there shouldn't be ripples in the water as well, but hey, we have come this far! #IndianRailways #speedLimits https://t.co/YkiDgYzWX3",non_complaint,Speed
"CR Clocks INR 200 Crores Fine From Ticket Checking In A Year

@Central_Railway #IndianRailways #Transport

https://t.co/EslUJ7E0nK",non_complaint,corruption / bribery
"#Unite2FightCorona #IndiaFightsCorona 
Stay safe from COVID , 
Wear a mask in public !  #IndianRailways @RailMinIndia @gmwcrailway @wc_railway @drmkota @drmjabalpur @AshwiniVaishnaw @DarshanaJardosh @raosahebdanve https://t.co/OzJ6wRbaAx",non_complaint,safety
"#IRCTCQ3: The revenue from operations surged 70% YoY and 14% QoQ to â‚¹918 crore in Q3 FY23, led by catering business. |@chit_ranjan 

https://t.co/z1IDpEPIgs

#IRCTCQ3results #IRCTCQ3profit #IRCTCQ3revenue #IndianRailways #catering #ticketing #tourism #onlineticketing",non_complaint,Information
"#IndianRailways pls be informed that 
Due to the landslides in Gangtok area there is a huge traffic on the main road and sub road and the people will not be able to catch their respective train 
Kindly delay some train from NJP SO THAT PEOPLE CAN AT LEAST CATCH THEIR TRAIN",non_complaint,punctuality
"Did You Know?
The following  plastic Items are Banned from July 2022.
Say No to Plastic Items. Save Environment.
#Environment #IndianRailways @wc_railway @drmjabalpur @BhopalDivision https://t.co/EjjIJb5kQ5",non_complaint,security
"Traveling in vande bharat express"" from NDLS to Varanasi, its pride of nation, Seats didn't recline a inch, feels like I'm sitting in Delhi Metro

#IndianRailways
#PiyushGoyal
#PMO 
#PMOIndia 
#ministryofindianrailways
#irctc 
#irctcprivatization 
#mohitkhanna 
#rohitgupta",non_complaint,Comfort/Convenience of the Travel
#IndianRailways also drawing inspiration from #Pushpa #memes - this time against trespassing! Ã°Å¸Ëœâ‚¬Ã°Å¸Ëœâ€ºÃ°Å¸Ëœâ€š #SafetyFirst https://t.co/P9Frz5sDDw,non_complaint,punctuality
"ï¼’ï¼’ï¼’ï¼’ 3á´¾â´ from ED in leads West Coast SF ðŸ¤©

ðŸ“±- #Nokia #ShotOnNokia #Photography
ðŸ·ï¸- #IndianRailways #SouthernRailway #Trains #Travel #Photo #MK1001.3 https://t.co/giCaORqnQi",non_complaint,
